ID,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Age Group,Kids,Total Purchases
5524,Graduation,Single,58138.0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,False,False,False,False,False,False,3,11,True,64,51-65,0,25
2174,Graduation,Single,46344.0,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,False,False,False,False,False,False,3,11,False,67,66+,2,6
4141,Graduation,In Relationship,71613.0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,False,False,False,False,False,False,3,11,False,56,51-65,0,21
6182,Graduation,In Relationship,26646.0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,False,False,False,False,False,False,3,11,False,37,36-50,1,8
5324,PhD,In Relationship,58293.0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,False,False,False,False,False,False,3,11,False,40,36-50,1,19
7446,Master,In Relationship,62513.0,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,False,False,False,False,False,False,3,11,False,54,51-65,1,22
965,Graduation,Single,55635.0,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,False,False,False,False,False,False,3,11,False,50,36-50,1,21
6177,PhD,In Relationship,33454.0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,False,False,False,False,False,False,3,11,False,36,36-50,1,10
4855,PhD,In Relationship,30351.0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,False,False,False,False,False,False,3,11,True,47,36-50,1,6
5899,PhD,In Relationship,5648.0,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,True,False,False,False,False,False,3,11,False,71,66+,2,2
1994,Graduation,In Relationship,51381.5,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,False,False,False,False,False,False,3,11,False,38,36-50,1,4
387,Basic,In Relationship,7500.0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,False,False,False,False,False,False,3,11,False,45,36-50,0,6
2125,Graduation,Single,63033.0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,False,False,False,False,False,False,3,11,False,62,51-65,0,16
8180,Master,Single,59354.0,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,False,False,False,False,False,False,3,11,False,69,66+,2,15
2569,Graduation,In Relationship,17323.0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,False,False,False,False,False,False,3,11,False,34,24-35,0,5
2114,PhD,Single,82800.0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,False,False,True,True,False,False,3,11,True,75,66+,0,26
9736,Graduation,In Relationship,41850.0,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,False,False,False,False,False,False,3,11,False,41,36-50,2,9
4939,Graduation,In Relationship,37760.0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,False,False,False,False,False,False,3,11,False,75,66+,0,13
6565,Master,In Relationship,76995.0,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,False,False,False,True,False,False,3,11,False,72,66+,1,26
2278,Master,Single,33812.0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,False,False,False,False,False,False,3,11,False,36,36-50,1,8
9360,Graduation,In Relationship,37040.0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,False,False,False,False,False,False,3,11,False,39,36-50,0,12
5376,Graduation,In Relationship,2447.0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,False,False,False,False,False,False,3,11,False,42,36-50,1,43
1993,PhD,In Relationship,58607.0,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,False,True,False,False,False,False,3,11,False,72,66+,1,17
4047,PhD,In Relationship,65324.0,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,False,False,False,False,False,False,3,11,False,67,66+,1,20
1409,Graduation,In Relationship,40689.0,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,False,False,False,False,False,False,3,11,False,70,66+,1,20
7892,Graduation,Single,18589.0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,False,False,False,False,False,False,3,11,False,52,51-65,0,8
2404,Graduation,In Relationship,53359.0,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,False,False,False,False,False,False,3,11,False,45,36-50,2,14
5255,Graduation,Single,51381.5,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,False,False,False,False,False,False,3,11,False,35,24-35,1,27
9422,Graduation,In Relationship,38360.0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,False,False,False,False,False,False,3,11,False,32,24-35,1,9
1966,PhD,In Relationship,84618.0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,False,False,True,False,False,False,3,11,False,56,51-65,0,26
6864,Master,Single,10979.0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,False,False,False,False,False,False,3,11,False,32,24-35,0,8
3033,Master,In Relationship,38620.0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,False,False,False,False,False,False,3,11,False,58,51-65,0,11
5710,Graduation,In Relationship,40548.0,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,False,True,False,False,False,False,3,11,False,51,51-65,1,9
7373,PhD,Single,46610.0,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,False,False,False,False,False,False,3,11,True,69,66+,2,17
8755,Master,In Relationship,68657.0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,False,False,False,False,False,False,3,11,False,75,66+,0,18
10738,Master,Single,49389.0,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,False,False,False,False,False,False,3,11,False,70,66+,2,6
4339,PhD,In Relationship,67353.0,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,False,False,False,False,False,False,3,11,False,51,51-65,1,28
10755,Master,In Relationship,23718.0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,False,False,False,False,False,False,3,11,False,45,36-50,1,9
8595,Graduation,Single,42429.0,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,False,False,False,False,False,False,3,11,False,48,36-50,1,7
2968,PhD,Single,48948.0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,True,False,False,False,False,False,3,11,True,78,66+,0,24
8601,Graduation,In Relationship,80011.0,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,False,False,False,False,False,False,3,11,False,41,36-50,1,21
503,Master,In Relationship,20559.0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,False,False,False,False,False,False,3,11,False,36,36-50,1,7
8430,Graduation,In Relationship,21994.0,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,False,False,False,False,False,False,3,11,False,64,51-65,1,4
7281,PhD,Single,51381.5,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,False,False,False,False,False,False,3,11,False,62,51-65,0,9
2139,Master,In Relationship,7500.0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,False,False,False,False,False,False,3,11,False,46,36-50,1,8
1371,Graduation,Single,79941.0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,False,False,False,False,False,False,3,11,False,45,36-50,0,16
9909,Master,In Relationship,7500.0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,False,False,False,False,False,False,3,11,True,25,24-35,0,10
7286,Graduation,In Relationship,41728.0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,False,False,False,False,False,False,3,11,False,53,51-65,1,5
7244,Graduation,Single,51381.5,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,False,False,False,False,False,False,3,11,False,70,66+,3,10
6566,PhD,In Relationship,72550.0,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,False,False,False,False,False,False,3,11,False,67,66+,2,28
8614,Graduation,Single,65486.0,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,False,False,False,False,False,False,3,11,False,64,51-65,1,17
4114,Master,In Relationship,79143.0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,False,False,False,False,False,False,3,11,False,57,51-65,0,29
1331,Graduation,Single,35790.0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,False,False,False,False,False,False,3,11,False,44,36-50,1,7
2225,Graduation,Single,82582.0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,True,False,False,True,False,False,3,11,True,44,36-50,0,21
9381,Graduation,In Relationship,66373.0,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,False,False,False,False,False,False,3,11,False,43,36-50,2,23
6260,Master,In Relationship,82384.0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,False,False,True,False,False,False,3,11,True,66,66+,0,27
10383,Graduation,Single,70287.0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,False,False,False,False,False,False,3,11,True,55,51-65,0,21
7437,Graduation,Single,27938.0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,False,False,False,False,False,False,3,11,False,33,24-35,1,6
8557,Graduation,Single,51381.5,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,False,False,False,False,False,False,3,11,False,39,36-50,1,7
8375,PhD,In Relationship,55954.0,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,False,False,False,False,False,False,3,11,False,53,51-65,1,19
6853,Master,Single,75777.0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,False,True,True,False,False,False,3,11,True,39,36-50,0,21
3076,Graduation,In Relationship,66653.0,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,False,False,False,False,False,False,3,11,False,46,36-50,2,22
1012,Graduation,Single,61823.0,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,False,False,False,False,False,False,3,11,False,69,66+,1,24
6518,PhD,Single,67680.0,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,False,False,False,False,False,False,3,11,False,70,66+,1,19
4137,Graduation,In Relationship,70666.0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,False,False,False,False,False,False,3,11,False,73,66+,0,16
8082,Graduation,In Relationship,25721.0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,False,False,False,False,False,False,3,11,True,50,36-50,1,5
1386,Graduation,In Relationship,32474.0,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,False,False,False,False,False,False,3,11,False,54,51-65,2,4
9369,Master,Single,88194.0,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,True,False,False,True,False,False,3,11,True,42,36-50,1,32
4477,Graduation,In Relationship,69096.0,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,False,False,False,False,False,False,3,11,False,63,51-65,1,18
1357,Graduation,In Relationship,74854.0,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,False,False,False,False,False,False,3,11,False,51,51-65,3,19
1402,Master,In Relationship,66991.0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,False,False,False,False,False,False,3,11,False,67,66+,0,21
10629,Master,In Relationship,51381.5,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,False,False,False,False,False,False,3,11,False,48,36-50,1,9
6312,Graduation,In Relationship,65031.0,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,False,False,False,False,False,False,3,11,False,62,51-65,1,30
8132,PhD,In Relationship,60631.0,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,False,True,False,False,False,False,3,11,False,46,36-50,2,24
1050,Graduation,In Relationship,28332.0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,False,False,False,False,False,False,3,11,False,69,66+,0,8
5846,Graduation,Single,40246.0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,False,False,False,False,False,False,3,11,False,44,36-50,1,4
1859,Master,In Relationship,75251.0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,False,False,False,False,False,False,3,11,True,49,36-50,0,19
7503,Graduation,Single,75825.0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,True,False,False,False,False,False,3,11,True,45,36-50,0,22
10401,Master,In Relationship,26326.0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,False,False,False,False,False,True,3,11,False,45,36-50,0,4
1618,Graduation,In Relationship,56046.0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,True,False,False,False,False,False,3,11,True,56,51-65,0,21
3332,Graduation,Single,29760.0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,False,False,False,False,False,False,3,11,False,36,36-50,1,12
2261,Graduation,In Relationship,26304.0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,False,False,False,False,False,False,3,11,False,52,51-65,1,4
5346,Master,In Relationship,23559.0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,False,False,False,False,False,False,3,11,False,48,36-50,1,9
4119,Master,In Relationship,38620.0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,False,False,False,False,False,False,3,11,False,58,51-65,0,11
535,Graduation,Single,81361.0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,False,False,False,False,False,False,3,11,False,34,24-35,0,27
5268,Graduation,In Relationship,29440.0,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,False,False,False,False,False,False,3,11,False,61,51-65,2,7
273,Master,In Relationship,36138.0,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,False,True,False,False,False,False,3,11,False,51,51-65,2,13
4452,Graduation,Single,50388.0,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,False,True,False,True,False,False,3,11,True,64,51-65,1,17
8504,Graduation,In Relationship,79593.0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,False,False,True,False,False,False,3,11,False,48,36-50,0,19
771,Graduation,In Relationship,54178.0,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,False,False,False,False,False,False,3,11,False,54,51-65,1,10
8996,PhD,In Relationship,51381.5,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,False,False,False,False,False,False,3,11,False,64,51-65,3,29
9235,Graduation,Single,51381.5,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,False,False,False,False,False,False,3,11,False,64,51-65,2,4
5798,Master,In Relationship,51381.5,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,False,False,False,False,False,False,3,11,False,48,36-50,0,15
11178,Master,Single,42394.0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,False,False,False,False,False,False,3,11,False,49,36-50,1,5
2230,PhD,In Relationship,23626.0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,False,False,False,False,False,False,3,11,False,51,51-65,1,10
